3.3.0	3色LEDおよびCTSフローコントロール対応
3.3.1	SD書き出し以外の計測時も5sec毎のLED点滅を有効化
3.3.2	無風電圧を1.45Vに変更
3.3.3	SDカード非マウント時に赤LEDで通知
3.3.4	CSVデータ書き出し仕様の調整。
3.3.5	FatFSをvers.0.13->0.15に変更
3.3.6	SDカード非マウント時に赤LEDで通知のバグフィクス,自動校正時の赤緑ダブル点滅処理追加,Resetスイッチ押し込みバグ修正
3.3.7	常設モード時にXBeeをスリープしないように変更
3.3.8	時刻の初期値を2000/1/1 00:00:00に変更
3.3.9	グローブ温度計計測のバグ修正
3.3.10  計測開始日時もEEPROMに保存するように変更
3.3.11  マイコンによるXBeeの初期設定に対応
3.3.12  計測開始時刻を切りの良い数字にした。現在時刻更新コマンドを追加。
3.3.13  コマンドID切替バグを修正-^
3.3.14  乳半アクリル板を透過しての照度測定に対応。MF書き出し処理簡素化。
3.3.15  フラッシュメモリ1h書き出しのバグを修正,Zigbee切断回避のため、1minに一度、空コマンドの送付を追加
3.3.16  XBee初期設定でPAN ID自動書き込みを削除
3.3.17  XBee初期設定コメントアウト。補正係数書き込みバグを修正。(2期製品)
3.3.18  風速計非使用時に電池残量確認処理をスキップ, 1minに一度の空パケット送信を取りやめ, シンボルによる初期パラメータ設定処理を実装
3.3.19  風速計の特性式の設定機能を追加
